0,1,2,3,4,5,6,7,8,9,10,11
-0.14512406,-0.015850767,0.018905878,-0.4230852,-0.019500181,0.8410899,-0.0050299466,-0.014561743,-0.05749658,0.7716097,1.0135373,0.4369346
-0.09594482,0.005016364,0.050496463,-0.3973273,-0.080718786,0.8508068,0.0080163665,-0.037176058,0.039595123,0.80567837,0.97052723,0.37734607
-0.07595357,-0.014439493,0.015899748,-0.3327654,-0.2575385,0.8308734,0.0061195605,-0.089503065,0.19963993,0.8022557,0.83146805,0.34882906
-0.027044954,-0.031238288,0.108312465,-0.3668426,-0.3402155,0.8606837,0.00561177,-0.10383891,0.37947,0.7495339,0.6718057,0.2426342
-0.063929155,-0.011376828,0.24402171,-0.45210788,-0.45584303,0.87279683,0.008011226,-0.10409033,0.5806515,0.5339536,0.43125537,0.19327027
-0.10226539,0.075932406,0.43032834,-0.5274657,-0.5232011,0.77154946,0.021236304,-0.08913168,0.7192107,0.34799635,0.25225878,0.14607784
-0.08066657,0.18325004,0.52457845,-0.5355134,-0.6891634,0.6375219,0.01644171,-0.08175486,0.9101526,0.26045886,0.0487428,0.0585941
-0.08720715,0.12945807,0.51729035,-0.5917901,-0.79598194,0.4204026,0.024956033,-0.013827547,0.952135,0.23261917,-0.0655188,-0.017060459
-0.032221004,0.13950127,0.5515311,-0.7389014,-0.9319796,0.08934431,0.013141904,0.05700402,0.9047263,0.25013927,-0.19138727,-0.20333648
-0.041649826,0.15015368,0.6105501,-0.8067074,-1.0319922,-0.16207562,0.062041994,0.060873553,0.7545237,0.31487027,-0.24347803,-0.3683238
-0.0626401,-0.0038969964,0.6310319,-0.9579778,-1.2328105,-0.3563142,0.13044801,0.10136154,0.5327284,0.3974223,-0.26177758,-0.5244019
-0.10791323,-0.101977795,0.40948194,-1.0294672,-1.3819693,-0.52578396,0.13753623,0.022652552,0.35833496,0.31470653,-0.22122687,-0.7119761
-0.1035952,-0.04619676,0.23775727,-1.1119884,-1.3981749,-0.56897956,0.06439787,0.03693527,0.35831875,0.19074598,-0.09828618,-0.7037647
-0.1139437,-0.011386067,0.042533144,-1.1794045,-1.3553959,-0.51554877,0.019931462,0.010131061,0.28408068,0.14815475,-0.03999293,-0.7326735
-0.08627993,0.054214776,-0.0476508,-1.1460736,-1.2687659,-0.49684125,0.008623224,0.020044476,0.14107381,0.27092326,-0.006475717,-0.7923291
